Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Start_Date,Data Value,Season,pollutant,value_std,AQI_cat,AQI_cat_simplified
165057,383,Sulfur Dioxide (So2),Mean,ppb,Cd,303,Bedford Stuyvesant (Cd3),2011-12-01,1.99,Winter,SO2,9.689209414543111,Bon,0
412593,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,210,Coney Island - Sheepshead Bay,2016-06-01,10.44,Summer,NO2,33.716127882461144,Bon,0
216451,386,Ozone (O3),Mean,ppb,Cd,305,East New York And Starrett City (Cd5),2014-06-01,32.3,Summer,O3,0.13200149511468326,Dangereux,1
216616,386,Ozone (O3),Mean,ppb,Cd,501,St. George And Stapleton (Cd1),2011-06-01,31.47,Summer,O3,0.10501037587433214,Dangereux,1
213100,383,Sulfur Dioxide (So2),Mean,ppb,Cd,413,Queens Village (Cd13),2013-12-01,1.12,Winter,SO2,5.280940785659934,Bon,0
412563,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,104,Pelham - Throgs Neck,2016-06-01,14.25,Summer,NO2,50.8571088248866,Bon,0
741256,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,403,Jackson Heights (Cd3),2020-12-01,21.53,Winter,NO2,75.4895679591284,Modéré,0
550113,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,317,East Flatbush (Cd17),2016-12-01,25.34,Winter,NO2,123.35950617447413,Mauvais,1
216435,386,Ozone (O3),Mean,ppb,Cd,303,Bedford Stuyvesant (Cd3),2010-06-01,31.75,Summer,O3,0.13558374021770941,Dangereux,1
740914,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,201,Greenpoint,2020-12-01,24.77,Winter,NO2,74.56171616225413,Modéré,0
167521,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,201,Mott Haven And Melrose (Cd1),2008-12-01,28.07,Winter,NO2,124.35373910562868,Mauvais,1
165777,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,315,Sheepshead Bay (Cd15),2008-12-01,25.38,Winter,NO2,98.9977287381756,Modéré,0
549393,386,Ozone (O3),Mean,ppb,Uhf34,408,Jamaica,2017-06-01,30.93,Summer,O3,0.12552119642435194,Dangereux,1
167547,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,315,Sheepshead Bay (Cd15),2008-12-01,20.37,Winter,NO2,100.04228832019605,Mauvais,1
172605,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,410,Rockaways,2008-12-01,14.68,Winter,NO2,56.08718515188119,Modéré,0
221979,386,Ozone (O3),Mean,ppb,Uhf34,501502,Northern Si,2013-06-01,29.99,Summer,O3,0.0975310122967449,Très mauvais,1
212179,383,Sulfur Dioxide (So2),Mean,ppb,Uhf42,209,Bensonhurst - Bay Ridge,2013-12-01,0.95,Winter,SO2,3.421544602630896,Bon,0
164931,383,Sulfur Dioxide (So2),Mean,ppb,Cd,207,Kingsbridge Heights And Bedford (Cd7),2009-12-01,7.49,Winter,SO2,29.670331091859037,Bon,0
175343,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,204,East New York,2010-12-01,30.26,Winter,NO2,96.0130718971056,Modéré,0
602996,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,210,Throgs Neck And Co-Op City (Cd10),2018-01-01,15.84,Winter,NO2,55.79715868342279,Modéré,0
412124,386,Ozone (O3),Mean,ppb,Cd,412,Jamaica And Hollis (Cd12),2016-05-31,34.03,Spring,O3,0.16516222470220243,Dangereux,1
212323,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,406,Fresh Meadows,2013-12-01,27.13,Winter,NO2,99.22639242402218,Modéré,0
412664,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,103,Lower East Side And Chinatown (Cd3),2015-12-01,27.5,Winter,NO2,105.63518069393756,Mauvais,1
172161,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,408,Jamaica,2011-06-01,17.26,Summer,NO2,79.52389697447346,Modéré,0
603056,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,318,Flatlands And Canarsie (Cd18),2018-01-01,14.45,Winter,NO2,62.119431462934564,Modéré,0
412016,386,Ozone (O3),Mean,ppb,Uhf42,305,Upper East Side,2016-05-31,30.17,Spring,O3,0.10974025799044253,Dangereux,1
667034,375,Nitrogen Dioxide (No2),Mean,ppb,Borough,2,Brooklyn,2019-12-01,25.56,Winter,NO2,106.53195605798945,Mauvais,1
